100,UNIQUE_SUM: m=100 const anomaly=1
198,86476556.781804,102688701.312518
199,101609777.915187,96490829.886774
200,96682729.358408,101653848.089600
201,108350184.781653,97006166.269778
202,108668276.404695,95026252.140371
203,85833748.385149,92764347.565030
204,122896579.931063,106912188.952011
205,100284455.501670,95449892.275777
206,104315275.276944,104396145.484694
207,114808650.500757,99742145.067588
208,96187958.104796,104824824.443564
209,118081280.167334,108636787.440496
210,90555824.651823,97775252.400163
211,125622069.107009,110824699.982246
212,131578817.828041,105282521.692237
213,89133163.101304,102544041.562457
214,111056309.606323,111581152.776406
215,90078062.135562,102676285.697091
216,94071733.052182,104815829.913625
217,128752530.247038,108779064.973611
218,109116988.616519,101217743.665140
219,101006483.352266,94797217.928608
220,92760505.433321,112644257.688149
221,113069230.210805,106474538.610193
222,95918086.523667,110016953.167042
223,80956676.035721,113759444.554461
224,130032110.315014,115657833.083446
225,110451489.599366,111677854.671198
226,111755664.085739,117522922.898392
227,132163468.941983,113945232.211958
228,83323789.667825,109317344.498037
229,107957785.862765,113653433.603305
230,102399328.179178,118071686.736003
231,121944072.841932,112193170.423528
232,112819017.961920,119430226.550039
233,118613246.060652,122887214.461519
234,129688437.729559,114878830.532248
235,141548367.179873,119470008.697433
236,95826919.155745,113673520.791016
237,116601975.366958,119233978.000753
238,101480688.063455,117638637.479010
239,124629725.542253,114820712.964188
240,136038516.526026,121076727.204579
241,104350637.131881,128014615.985951
242,145759157.714186,124587657.905474
243,136855846.451576,122730535.925418
244,119556721.288314,122828050.592594
245,114792753.092572,128890133.232965
246,151209175.255507,126503249.867439
247,118916090.642838,118793770.527521
248,114956920.889898,119844393.579459
249,141600644.228325,133459712.509663
250,120389470.952663,129934800.564228
251,120918003.275941,133297338.871513
252,103608837.736621,122495566.998529
253,108474183.153170,124133179.489927
254,138012091.950623,121949171.270608
255,122793565.497204,132841056.537186
256,124459986.533725,123343942.397262
257,127396353.706168,129458307.167481
258,138684505.421930,124202534.539411
259,150454548.961918,132656773.573938
260,123561643.399430,135868635.523790
261,125752352.676080,132445249.893091
262,119912924.041087,135827266.050647
263,136788801.940399,135700716.536157
264,138172802.989486,130387986.160978
265,150442223.739438,130516131.786752
266,132362291.632753,129417160.539805
267,118754773.596514,127815275.748947
268,134594663.183162,135026029.141243
269,112485047.367079,131153529.963756
270,134923753.090840,132124838.703948
271,129350284.609123,138775414.157138
272,120006705.331505,141217153.969812
273,155236175.094111,136772174.341451
274,116641319.628212,129708615.441732
275,127792842.066681,138932365.682032
276,146494736.075644,142588452.275844
277,146568626.402785,137372760.772378
278,139107534.510242,135816803.122582
279,139523344.341946,140873465.512435
