100,UNIQUE_SUM: m=100 range=(1; 1000) shiftHash
421,0.000000,206856.040720
422,0.000000,213022.409722
423,0.000000,208776.110034
424,0.000000,211798.169416
425,0.000000,209435.759863
426,0.000000,215120.761207
427,0.000000,208324.617355
428,0.000000,209043.932896
429,0.000000,208155.716378
430,0.000000,211708.066144
431,0.000000,210795.601503
432,0.000000,209164.253020
433,0.000000,210349.981738
434,0.000000,225085.354424
435,0.000000,213680.003109
436,0.000000,223294.165628
437,0.000000,217496.957071
438,0.000000,203730.699631
439,0.000000,217847.159056
440,0.000000,218465.069100
441,0.000000,214627.545659
442,0.000000,221067.128040
443,0.000000,229327.997100
444,0.000000,213864.071077
445,0.000000,226054.171083
446,0.000000,222476.546054
447,0.000000,220928.033999
448,0.000000,219720.488268
449,0.000000,222888.049839
450,0.000000,218414.130478
451,0.000000,213182.737450
452,0.000000,222725.706878
453,0.000000,234710.882462
454,0.000000,223115.909131
455,0.000000,227648.476478
456,0.000000,234137.492053
457,0.000000,234523.871728
458,0.000000,221813.798804
459,0.000000,238190.386966
460,0.000000,225322.558719
461,0.000000,228873.766344
462,0.000000,235282.187557
463,0.000000,231927.140929
464,0.000000,233476.690190
465,0.000000,228719.613787
466,0.000000,239431.339880
467,0.000000,234506.970849
468,0.000000,239544.356566
469,0.000000,238240.685903
470,0.000000,238405.804352
471,0.000000,238808.079813
472,0.000000,219101.585569
473,0.000000,239859.501957
474,0.000000,231324.541572
475,0.000000,249730.778729
476,0.000000,246438.956281
477,0.000000,243338.728035
478,0.000000,244574.220643
479,0.000000,236582.729868
480,0.000000,233290.594468
481,0.000000,235419.956449
482,0.000000,249104.851593
483,0.000000,233683.549551
484,0.000000,239704.180838
485,0.000000,239565.415881
486,0.000000,232629.137136
487,0.000000,241409.628584
488,0.000000,237732.007898
489,0.000000,250555.260783
490,0.000000,245432.161848
491,0.000000,253469.855493
492,0.000000,246897.096514
493,0.000000,247532.616539
494,0.000000,254011.393563
495,0.000000,248074.380972
496,0.000000,228723.382796
497,0.000000,254969.872448
498,0.000000,240124.342709
499,0.000000,246686.731109
500,0.000000,243378.117859
501,0.000000,246471.278290
502,0.000000,240477.842668
503,0.000000,254758.528797
504,0.000000,233219.562258
505,0.000000,249712.451901
506,0.000000,258066.876479
507,0.000000,254679.031993
508,0.000000,256465.766367
509,0.000000,262476.404791
510,0.000000,259589.569230
511,0.000000,254448.325113
512,0.000000,250720.672038
513,0.000000,260283.432368
514,0.000000,270227.543568
515,0.000000,259422.948674
516,0.000000,259335.830823
517,0.000000,259868.247314
518,0.000000,263077.533157
519,0.000000,268482.084293
520,0.000000,263047.759964
521,0.000000,258398.313713
522,0.000000,273987.188296
523,0.000000,271980.107535
524,0.000000,271561.801909
525,0.000000,264675.683479
526,0.000000,258681.198437
527,0.000000,265828.448356
528,0.000000,256450.104198
529,0.000000,259177.796276
530,0.000000,259629.812233
531,0.000000,270450.722305
532,0.000000,271082.748680
533,0.000000,261097.673868
534,0.000000,267458.798039
535,0.000000,270088.088725
536,0.000000,273261.687262
537,0.000000,264629.983126
538,0.000000,273735.796387
539,0.000000,271473.347888
540,0.000000,260982.798972
541,0.000000,273523.947307
542,0.000000,254332.646313
543,0.000000,265095.168562
544,0.000000,264077.764594
545,0.000000,271051.522719
546,0.000000,263505.093594
547,0.000000,287148.090891
548,0.000000,287165.562866
549,0.000000,279000.220918
550,0.000000,270020.386270
551,0.000000,279899.090325
552,0.000000,280018.689542
553,0.000000,285188.729853
554,0.000000,272035.538432
555,0.000000,276190.982745
556,0.000000,272652.758371
557,0.000000,277393.139836
558,0.000000,271700.527019
559,0.000000,275391.797654
560,0.000000,282220.604662
561,0.000000,282253.387633
562,0.000000,280547.883936
563,0.000000,283755.015029
564,0.000000,269173.339777
565,0.000000,278293.144318
566,0.000000,289181.580451
567,0.000000,290511.339928
568,0.000000,288010.593666
569,0.000000,278898.470446
570,0.000000,289360.841739
571,0.000000,293482.576992
572,0.000000,287079.246694
573,0.000000,292506.755555
574,0.000000,298662.685416
575,0.000000,289245.267994
576,0.000000,290296.677014
577,0.000000,285358.421336
578,0.000000,275495.032140
579,0.000000,292325.838525
580,0.000000,297074.958011
581,0.000000,289741.033353
582,0.000000,283754.099417
583,0.000000,286723.830990
584,0.000000,297233.496433
585,0.000000,299528.017543
586,0.000000,301241.774868
587,0.000000,300432.778541
588,0.000000,298561.801626
589,0.000000,286678.045221
590,0.000000,291319.062696
591,0.000000,298663.125784
592,0.000000,298664.189308
593,0.000000,293564.512412
594,0.000000,308886.106600
595,0.000000,301046.233357
596,0.000000,303522.423717
597,0.000000,296244.089411
598,0.000000,300421.939793
599,0.000000,305900.142094
600,0.000000,294923.169162
601,0.000000,301536.059748
602,0.000000,313644.385878
603,0.000000,300765.983110
604,0.000000,297664.182515
605,0.000000,296622.158283
606,0.000000,309923.687140
607,0.000000,307087.731165
608,0.000000,308424.333745
609,0.000000,313997.497209
610,0.000000,317617.494847
611,0.000000,300402.868864
612,0.000000,303313.988083
613,0.000000,310180.841637
614,0.000000,315314.484558
615,0.000000,315727.808337
616,0.000000,306142.045848
617,0.000000,319290.717292
618,0.000000,308942.069917
619,0.000000,314983.136376
620,0.000000,318732.839992
621,0.000000,311700.132374
622,0.000000,313901.881321
623,0.000000,319852.431931
624,0.000000,322227.558776
625,0.000000,322291.795625
626,0.000000,314137.933843
627,0.000000,316728.929963
628,0.000000,301992.910390
629,0.000000,314592.870427
630,0.000000,309528.186186
631,0.000000,311763.539117
632,0.000000,303775.798749
633,0.000000,314668.328642
634,0.000000,311665.916015
635,0.000000,328588.274696
636,0.000000,312169.286709
637,0.000000,311309.750616
638,0.000000,318151.801902
639,0.000000,319202.412074
640,0.000000,320582.898872
641,0.000000,322931.508271
642,0.000000,310117.489832
643,0.000000,329201.112860
644,0.000000,326365.614406
645,0.000000,324800.749963
646,0.000000,330029.881016
647,0.000000,312312.881085
648,0.000000,323962.409828
649,0.000000,325679.817136
650,0.000000,316041.139785
651,0.000000,329030.599255
652,0.000000,307546.860854
653,0.000000,333132.544241
654,0.000000,324562.157503
655,0.000000,332691.132027
656,0.000000,332205.582543
657,0.000000,320802.713906
658,0.000000,324080.168105
659,0.000000,328332.648014
660,0.000000,320256.629680
661,0.000000,342188.785265
662,0.000000,334938.906065
663,0.000000,324415.219545
664,0.000000,326628.364828
665,0.000000,333652.700891
666,0.000000,324440.014583
667,0.000000,337794.321882
668,0.000000,334077.858354
669,0.000000,326313.693565
670,0.000000,337647.381997
671,0.000000,339474.622496
672,0.000000,335250.077796
673,0.000000,331870.408553
674,0.000000,341540.848253
675,0.000000,335944.417167
676,0.000000,337931.604403
677,0.000000,340543.312120
678,0.000000,335298.487763
679,0.000000,334656.568494
680,0.000000,347060.983145
681,0.000000,348294.858196
682,0.000000,337387.466003
683,0.000000,332061.607645
684,0.000000,338934.938304
685,0.000000,343956.435613
686,0.000000,343998.105083
687,0.000000,342768.615543
688,0.000000,332644.574398
689,0.000000,345738.938966
690,0.000000,336424.276023
691,0.000000,345071.322386
692,0.000000,348689.518795
693,0.000000,338185.553647
694,0.000000,360309.163113
695,0.000000,360223.995129
696,0.000000,360872.298281
697,0.000000,345194.282805
698,0.000000,354538.470531
699,0.000000,346148.151160
700,0.000000,359994.062789
701,0.000000,353319.765406
702,0.000000,344566.895436
703,0.000000,358380.127304
704,0.000000,366401.737630
705,0.000000,352936.909354
706,0.000000,355156.750599
707,0.000000,352922.444282
708,0.000000,350809.601569
709,0.000000,349481.026185
710,0.000000,359569.761772
711,0.000000,344723.275049
712,0.000000,349010.818665
713,0.000000,338628.348954
714,0.000000,336321.817562
715,0.000000,356917.220057
716,0.000000,362959.653537
717,0.000000,356713.336786
718,0.000000,362963.889303
719,0.000000,368831.621102
720,0.000000,367636.545863
721,0.000000,357225.526712
722,0.000000,346811.593613
723,0.000000,363050.975751
724,0.000000,371121.975858
725,0.000000,368742.993796
726,0.000000,368641.393694
727,0.000000,358610.676984
728,0.000000,365238.319639
729,0.000000,375829.764568
730,0.000000,364737.886488
731,0.000000,369643.193954
732,0.000000,363941.667376
733,0.000000,375025.492332
734,0.000000,363960.619965
735,0.000000,365517.671517
736,0.000000,350162.227085
737,0.000000,368402.122254
738,0.000000,361666.083506
739,0.000000,371617.038518
740,0.000000,375463.595215
741,0.000000,379918.639732
742,0.000000,375091.102081
743,0.000000,381440.699314
744,0.000000,374822.663802
745,0.000000,380642.830150
746,0.000000,382284.698483
747,0.000000,378835.718708
748,0.000000,377830.348089
749,0.000000,363274.317596
750,0.000000,371799.133867
751,0.000000,375294.675278
752,0.000000,385601.681285
753,0.000000,371520.612433
754,0.000000,381106.399584
755,0.000000,377335.213623
756,0.000000,385599.427194
757,0.000000,380415.543457
758,0.000000,373695.194082
759,0.000000,390150.448417
760,0.000000,384685.770927
761,0.000000,389657.061267
762,0.000000,380340.174739
763,0.000000,393570.195714
764,0.000000,381782.986828
765,0.000000,369689.991806
766,0.000000,370013.715129
767,0.000000,373777.898146
768,0.000000,392328.964124
769,0.000000,384066.233144
770,0.000000,387283.012893
771,0.000000,384984.831146
772,0.000000,393995.112860
773,0.000000,371241.576684
774,0.000000,377753.208559
775,0.000000,394281.548180
776,0.000000,396357.383552
777,0.000000,397267.487249
778,0.000000,400600.868453
779,0.000000,390813.500312
780,0.000000,399820.666038
781,0.000000,404602.644490
782,0.000000,402136.893152
783,0.000000,389406.483495
784,0.000000,382485.090312
785,0.000000,390134.829293
786,0.000000,396885.770031
787,0.000000,413225.492153
788,0.000000,411086.048926
789,0.000000,388127.438740
790,0.000000,389626.387220
791,0.000000,396221.558381
792,0.000000,390011.544071
793,0.000000,391968.472710
794,0.000000,401609.447559
795,0.000000,387496.851907
796,0.000000,394445.723324
797,0.000000,397150.469350
798,0.000000,403301.980566
799,0.000000,382887.219753
800,0.000000,402831.529280
801,0.000000,397132.385803
802,0.000000,416200.871051
803,0.000000,405719.811687
804,0.000000,406869.546714
805,0.000000,401633.824160
806,0.000000,401177.556018
807,0.000000,422008.346702
808,0.000000,389383.035296
809,0.000000,400274.497482
810,0.000000,409720.324064
811,0.000000,404663.205312
812,0.000000,417093.010887
813,0.000000,412183.259938
814,0.000000,396256.327916
815,0.000000,401475.989646
816,0.000000,417940.084285
817,0.000000,412417.876487
818,0.000000,395552.863062
819,0.000000,402013.719344
820,0.000000,396920.230239
821,0.000000,418054.252128
822,0.000000,421499.325187
823,0.000000,414963.021540
824,0.000000,403460.848535
825,0.000000,416211.152591
826,0.000000,413268.788985
827,0.000000,415209.159270
828,0.000000,417526.318328
829,0.000000,408283.787478
830,0.000000,422189.592021
831,0.000000,419348.915556
832,0.000000,414215.286846
833,0.000000,416946.972581
834,0.000000,428988.745161
835,0.000000,418434.044600
836,0.000000,421536.217860
837,0.000000,423979.799188
838,0.000000,397948.012072
839,0.000000,411379.065900
840,0.000000,433419.839172
841,0.000000,428296.459017
842,0.000000,418938.313088
843,0.000000,418829.445648
844,0.000000,421195.674547
845,0.000000,434909.001193
846,0.000000,434910.250773
847,0.000000,436189.264207
848,0.000000,426575.054052
849,0.000000,417006.480146
850,0.000000,426135.809350
851,0.000000,417050.913315
852,0.000000,435929.091755
853,0.000000,421399.432034
854,0.000000,414133.812071
855,0.000000,438437.390570
856,0.000000,423381.179400
857,0.000000,443819.971213
858,0.000000,415936.849488
859,0.000000,421632.862573
860,0.000000,442914.994111
861,0.000000,438731.500350
862,0.000000,427021.991560
863,0.000000,425427.641999
864,0.000000,437739.703902
865,0.000000,430715.870754
866,0.000000,436565.022486
867,0.000000,439191.933185
868,0.000000,441598.440191
869,0.000000,428646.853846
870,0.000000,445633.300498
871,0.000000,436495.357495
