100,UNIQUE_SUM: m=100 const fibHash
222,29664.061420,22200.000000
223,28179.879558,22300.000000
224,32863.398333,22400.000000
225,34292.160643,22500.000000
226,34676.929751,22600.000000
227,32521.156753,22700.000000
228,37196.474670,22800.000000
229,33058.131057,22900.000000
230,31137.189042,23000.000000
231,38778.571172,23100.000000
232,34059.963322,23200.000000
233,31475.275309,23300.000000
234,35564.592614,23400.000000
235,39352.918828,23500.000000
236,30861.567252,23600.000000
237,34737.510078,23700.000000
238,45059.140197,23800.000000
239,36718.682412,23900.000000
240,37118.693565,24000.000000
241,33503.444727,24100.000000
242,38342.200526,24200.000000
243,40569.842153,24300.000000
244,39630.949410,24400.000000
245,33494.120663,24500.000000
246,40876.574340,24600.000000
247,41840.922093,24700.000000
248,35723.728325,24800.000000
249,42852.065588,24900.000000
250,35325.678447,25000.000000
251,39502.280512,25100.000000
252,42365.322012,25200.000000
253,39587.676099,25300.000000
254,36126.826828,25400.000000
255,44187.590490,25500.000000
256,46148.179454,25600.000000
257,40013.935531,25700.000000
258,38791.551445,25800.000000
259,39808.251816,25900.000000
260,44371.224237,26000.000000
261,43202.126591,26100.000000
262,40916.659292,26200.000000
263,42154.675316,26300.000000
264,40901.051292,26400.000000
265,48758.330209,26500.000000
266,44566.266508,26600.000000
267,45050.316095,26700.000000
268,45451.232354,26800.000000
269,42623.790097,26900.000000
270,41634.565801,27000.000000
271,45520.955570,27100.000000
272,42859.712933,27200.000000
273,51112.740044,27300.000000
274,46052.800164,27400.000000
275,44601.991112,27500.000000
276,45835.399798,27600.000000
277,44084.622480,27700.000000
278,49429.941577,27800.000000
279,49984.971969,27900.000000
280,50027.652794,28000.000000
281,44485.236736,28100.000000
282,42893.423411,28200.000000
283,50992.454392,28300.000000
284,47560.342241,28400.000000
285,49451.555304,28500.000000
286,53065.407743,28600.000000
287,49519.688375,28700.000000
288,52375.995082,28800.000000
289,53791.994171,28900.000000
290,47893.403948,29000.000000
291,52561.122760,29100.000000
292,56762.914253,29200.000000
293,53117.295038,29300.000000
294,48093.234050,29400.000000
295,49742.636163,29500.000000
296,52765.217057,29600.000000
297,54049.655683,29700.000000
298,60353.285822,29800.000000
299,55012.380554,29900.000000
300,53142.765991,30000.000000
301,55002.691755,30100.000000
302,51082.124171,30200.000000
303,56081.708015,30300.000000
304,55680.519149,30400.000000
305,56435.280699,30500.000000
306,60464.036509,30600.000000
307,56538.969222,30700.000000
308,56478.535382,30800.000000
309,56079.888261,30900.000000
310,59042.875767,31000.000000
311,56830.970499,31100.000000
312,56332.510736,31200.000000
313,56267.746269,31300.000000
314,58892.560513,31400.000000
315,61777.180546,31500.000000
316,56302.274914,31600.000000
317,61889.633152,31700.000000
318,58272.621951,31800.000000
319,61415.839085,31900.000000
320,58555.129397,32000.000000
321,66624.830975,32100.000000
322,60182.828161,32200.000000
323,61516.131356,32300.000000
324,66215.697825,32400.000000
325,61762.294373,32500.000000
326,63168.068312,32600.000000
327,63574.745198,32700.000000
328,64484.811193,32800.000000
329,63073.204717,32900.000000
330,57552.870595,33000.000000
331,63332.080867,33100.000000
332,63810.478870,33200.000000
333,61827.804442,33300.000000
334,64576.301076,33400.000000
335,65149.045986,33500.000000
336,63083.358974,33600.000000
337,65887.476198,33700.000000
338,62295.111367,33800.000000
339,67826.435786,33900.000000
340,63822.052017,34000.000000
341,66143.032151,34100.000000
342,64820.675022,34200.000000
